"MarkettypeID","TradingMonth","RiskPremium2","SMB2","HML2"
"P9706","2006-01","0.080575","-0.005813","-0.008047"
"P9707","2006-01","0.347575","0.210811","0.087489"
"P9710","2006-01","0.103575","-0.000453","-0.021167"
"P9709","2006-01","0.080575","-0.005813","-0.008047"
"P9712","2006-01","0.080575","-0.005813","-0.008047"
"P9714","2006-01","0.080575","-0.005813","-0.008047"
"P9715","2006-01","0.103575","-0.000453","-0.021167"
"P9713","2006-01","0.103575","-0.000453","-0.021167"
"P9706","2006-02","0.038575","-0.012876","0.003775"
"P9707","2006-02","0.010575","-0.073883","-0.008963"
"P9710","2006-02","0.035575","-0.017297","0.002323"
"P9709","2006-02","0.038575","-0.012876","0.003775"
"P9712","2006-02","0.038575","-0.012876","0.003775"
"P9714","2006-02","0.038575","-0.012876","0.003775"
"P9715","2006-02","0.035575","-0.017297","0.002323"
"P9713","2006-02","0.035575","-0.017297","0.002323"
"P9706","2006-03","0.008575","-0.007185","-0.012971"
"P9707","2006-03","0.049575","-0.080626","-0.044663"
"P9710","2006-03","0.012575","-0.011577","-0.017435"
"P9709","2006-03","0.008575","-0.007185","-0.012971"
"P9712","2006-03","0.008575","-0.007185","-0.012971"
"P9714","2006-03","0.008575","-0.007185","-0.012971"
"P9715","2006-03","0.012575","-0.011577","-0.017435"
"P9713","2006-03","0.012575","-0.011577","-0.017435"
"P9706","2006-04","0.125575","-0.054845","0.035662"
"P9707","2006-04","0.034575","0.012055","-0.076192"
"P9710","2006-04","0.117575","-0.044373","0.032558"
"P9709","2006-04","0.125575","-0.054845","0.035662"
"P9712","2006-04","0.125575","-0.054845","0.035662"
"P9714","2006-04","0.125575","-0.054845","0.035662"
"P9715","2006-04","0.117575","-0.044373","0.032558"
"P9713","2006-04","0.117575","-0.044373","0.032558"
"P9706","2006-05","0.167575","0.124199","-0.019502"
"P9707","2006-05","0.064575","0.048496","-0.008442"
"P9710","2006-05","0.158575","0.120915","-0.012703"
"P9709","2006-05","0.167575","0.124199","-0.019502"
"P9712","2006-05","0.167575","0.124199","-0.019502"
"P9714","2006-05","0.167575","0.124199","-0.019502"
"P9715","2006-05","0.158575","0.120915","-0.012703"
"P9713","2006-05","0.158575","0.120915","-0.012703"
"P9706","2006-06","0.032575","0.052525","-0.012853"
"P9707","2006-06","-0.038425","0.027610","-0.001351"
"P9710","2006-06","0.027575","0.049681","-0.010138"
"P9709","2006-06","0.032575","0.052525","-0.012853"
"P9712","2006-06","0.032575","0.052525","-0.012853"
"P9714","2006-06","0.032575","0.052525","-0.012853"
"P9715","2006-06","0.027575","0.049681","-0.010138"
"P9713","2006-06","0.027575","0.049681","-0.010138"
"P9706","2006-07","-0.056425","0.050912","-0.010199"
"P9707","2006-07","-0.017425","-0.059606","-0.040370"
"P9710","2006-07","-0.053425","0.041151","-0.012809"
"P9709","2006-07","-0.056425","0.050912","-0.010199"
"P9712","2006-07","-0.056425","0.050912","-0.010199"
"P9714","2006-07","-0.056425","0.050912","-0.010199"
"P9715","2006-07","-0.053425","0.041151","-0.012809"
"P9713","2006-07","-0.053425","0.041151","-0.012809"
"P9706","2006-08","0.021500","0.002412","-0.022454"
"P9707","2006-08","0.016500","-0.018915","-0.014992"
"P9710","2006-08","0.020500","0.001149","-0.019782"
"P9709","2006-08","0.021500","0.002412","-0.022454"
"P9712","2006-08","0.021500","0.002412","-0.022454"
"P9714","2006-08","0.021500","0.002412","-0.022454"
"P9715","2006-08","0.020500","0.001149","-0.019782"
"P9713","2006-08","0.020500","0.001149","-0.019782"
"P9706","2006-09","0.046500","0.025698","-0.030294"
"P9707","2006-09","0.149500","0.338523","0.170007"
"P9710","2006-09","0.053500","0.047749","-0.023247"
"P9709","2006-09","0.046500","0.025698","-0.030294"
"P9712","2006-09","0.046500","0.025698","-0.030294"
"P9714","2006-09","0.046500","0.025698","-0.030294"
"P9715","2006-09","0.053500","0.047749","-0.023247"
"P9713","2006-09","0.053500","0.047749","-0.023247"
"P9706","2006-10","0.031500","-0.058073","0.047619"
"P9707","2006-10","0.024500","-0.083578","-0.022847"
"P9710","2006-10","0.030500","-0.062020","0.044337"
"P9709","2006-10","0.031500","-0.058073","0.047619"
"P9712","2006-10","0.031500","-0.058073","0.047619"
"P9714","2006-10","0.031500","-0.058073","0.047619"
"P9715","2006-10","0.030500","-0.062020","0.044337"
"P9713","2006-10","0.030500","-0.062020","0.044337"
"P9706","2006-11","0.138500","-0.143586","0.020522"
"P9707","2006-11","0.119500","-0.105361","-0.047009"
"P9710","2006-11","0.137500","-0.140409","0.014839"
"P9709","2006-11","0.138500","-0.143586","0.020522"
"P9712","2006-11","0.138500","-0.143586","0.020522"
"P9714","2006-11","0.138500","-0.143586","0.020522"
"P9715","2006-11","0.137500","-0.140409","0.014839"
"P9713","2006-11","0.137500","-0.140409","0.014839"
"P9706","2006-12","0.255500","-0.106122","0.001587"
"P9707","2006-12","0.120500","-0.086004","-0.047324"
"P9710","2006-12","0.248500","-0.103251","0.001308"
"P9709","2006-12","0.255500","-0.106122","0.001587"
"P9712","2006-12","0.255500","-0.106122","0.001587"
"P9714","2006-12","0.255500","-0.106122","0.001587"
"P9715","2006-12","0.248500","-0.103251","0.001308"
"P9713","2006-12","0.248500","-0.103251","0.001308"
"P9706","2007-01","0.060500","0.069997","-0.004906"
"P9707","2007-01","0.121500","0.135445","0.062548"
"P9710","2007-01","0.063500","0.078180","-0.001426"
"P9709","2007-01","0.060500","0.069997","-0.004906"
"P9712","2007-01","0.060500","0.069997","-0.004906"
"P9714","2007-01","0.060500","0.069997","-0.004906"
"P9715","2007-01","0.063500","0.078180","-0.001426"
"P9713","2007-01","0.063500","0.078180","-0.001426"
"P9706","2007-02","0.045500","0.118454","0.014951"
"P9707","2007-02","0.080500","0.085272","0.048272"
"P9710","2007-02","0.046500","0.117774","0.018210"
"P9709","2007-02","0.045500","0.118454","0.014951"
"P9712","2007-02","0.045500","0.118454","0.014951"
"P9714","2007-02","0.045500","0.118454","0.014951"
"P9715","2007-02","0.046500","0.117774","0.018210"
"P9713","2007-02","0.046500","0.117774","0.018210"
"P9706","2007-03","0.106350","0.118894","-0.007549"
"P9707","2007-03","0.037350","0.013868","-0.015639"
"P9710","2007-03","0.103350","0.109368","-0.002514"
"P9709","2007-03","0.106350","0.118894","-0.007549"
"P9712","2007-03","0.106350","0.118894","-0.007549"
"P9714","2007-03","0.106350","0.118894","-0.007549"
"P9715","2007-03","0.103350","0.109368","-0.002514"
"P9713","2007-03","0.103350","0.109368","-0.002514"
"P9706","2007-04","0.192350","0.062699","0.042895"
"P9707","2007-04","0.237350","0.026977","0.035818"
"P9710","2007-04","0.194350","0.061512","0.047253"
"P9709","2007-04","0.192350","0.062699","0.042895"
"P9712","2007-04","0.192350","0.062699","0.042895"
"P9714","2007-04","0.192350","0.062699","0.042895"
"P9715","2007-04","0.194350","0.061512","0.047253"
"P9713","2007-04","0.194350","0.061512","0.047253"
"P9706","2007-05","0.069275","-0.028153","-0.000064"
"P9707","2007-05","0.201275","0.136387","-0.026208"
"P9710","2007-05","0.075275","-0.013057","-0.011315"
"P9709","2007-05","0.069275","-0.028153","-0.000064"
"P9712","2007-05","0.069275","-0.028153","-0.000064"
"P9714","2007-05","0.069275","-0.028153","-0.000064"
"P9715","2007-05","0.075275","-0.013057","-0.011315"
"P9713","2007-05","0.075275","-0.013057","-0.011315"
"P9706","2007-06","-0.076725","-0.118928","-0.100223"
"P9707","2007-06","-0.072725","-0.094517","-0.009098"
"P9710","2007-06","-0.076725","-0.114863","-0.091054"
"P9709","2007-06","-0.076725","-0.118928","-0.100223"
"P9712","2007-06","-0.076725","-0.118928","-0.100223"
"P9714","2007-06","-0.076725","-0.118928","-0.100223"
"P9715","2007-06","-0.076725","-0.114863","-0.091054"
"P9713","2007-06","-0.076725","-0.114863","-0.091054"
"P9706","2007-07","0.169050","0.086494","0.018531"
"P9707","2007-07","0.249050","0.018846","-0.029795"
"P9710","2007-07","0.173050","0.083519","0.014067"
"P9709","2007-07","0.169050","0.086494","0.018531"
"P9712","2007-07","0.169050","0.086494","0.018531"
"P9714","2007-07","0.169050","0.086494","0.018531"
"P9715","2007-07","0.173050","0.083519","0.014067"
"P9713","2007-07","0.173050","0.083519","0.014067"
"P9706","2007-08","0.166825","-0.038722","-0.004172"
"P9707","2007-08","-0.025175","-0.023739","-0.003364"
"P9710","2007-08","0.156825","-0.043946","0.005836"
"P9709","2007-08","0.166825","-0.038722","-0.004172"
"P9712","2007-08","0.166825","-0.038722","-0.004172"
"P9714","2007-08","0.166825","-0.038722","-0.004172"
"P9715","2007-08","0.156825","-0.043946","0.005836"
"P9713","2007-08","0.156825","-0.043946","0.005836"
"P9706","2007-09","0.056600","-0.015255","0.062892"
"P9707","2007-09","0.073600","0.010029","0.012496"
"P9710","2007-09","0.056600","-0.010773","0.058017"
"P9709","2007-09","0.056600","-0.015255","0.062892"
"P9712","2007-09","0.056600","-0.015255","0.062892"
"P9714","2007-09","0.056600","-0.015255","0.062892"
"P9715","2007-09","0.056600","-0.010773","0.058017"
"P9713","2007-09","0.056600","-0.010773","0.058017"
"P9706","2007-10","0.065600","-0.146475","-0.026165"
"P9707","2007-10","0.039600","-0.070546","-0.028371"
"P9710","2007-10","0.064600","-0.145299","-0.025247"
"P9709","2007-10","0.065600","-0.146475","-0.026165"
"P9712","2007-10","0.065600","-0.146475","-0.026165"
"P9714","2007-10","0.065600","-0.146475","-0.026165"
"P9715","2007-10","0.064600","-0.145299","-0.025247"
"P9713","2007-10","0.064600","-0.145299","-0.025247"
"P9706","2007-11","-0.131400","0.085914","0.001518"
"P9707","2007-11","-0.113400","0.008449","-0.020366"
"P9710","2007-11","-0.131400","0.080192","0.001563"
"P9709","2007-11","-0.131400","0.085914","0.001518"
"P9712","2007-11","-0.131400","0.085914","0.001518"
"P9714","2007-11","-0.131400","0.085914","0.001518"
"P9715","2007-11","-0.131400","0.080192","0.001563"
"P9713","2007-11","-0.131400","0.080192","0.001563"
"P9706","2007-12","0.073225","0.073416","-0.001865"
"P9707","2007-12","0.032225","0.062400","0.020317"
"P9710","2007-12","0.072225","0.070680","0.005325"
"P9709","2007-12","0.073225","0.073416","-0.001865"
"P9712","2007-12","0.073225","0.073416","-0.001865"
"P9714","2007-12","0.073225","0.073416","-0.001865"
"P9715","2007-12","0.072225","0.070680","0.005325"
"P9713","2007-12","0.072225","0.070680","0.005325"
"P9706","2008-01","-0.168775","0.081718","-0.034303"
"P9707","2008-01","-0.152775","-0.026079","-0.011532"
"P9710","2008-01","-0.168775","0.073161","-0.029331"
"P9709","2008-01","-0.168775","0.081718","-0.034303"
"P9712","2008-01","-0.168775","0.081718","-0.034303"
"P9714","2008-01","-0.168775","0.081718","-0.034303"
"P9713","2008-01","-0.168775","0.073161","-0.029331"
"P9715","2008-01","-0.168775","0.073161","-0.029331"
"P9706","2008-02","-0.002775","0.082002","0.022209"
"P9707","2008-02","0.019225","-0.015769","-0.034013"
"P9710","2008-02","-0.001775","0.073890","0.020909"
"P9709","2008-02","-0.002775","0.082002","0.022209"
"P9712","2008-02","-0.002775","0.082002","0.022209"
"P9714","2008-02","-0.002775","0.082002","0.022209"
"P9713","2008-02","-0.001775","0.073890","0.020909"
"P9715","2008-02","-0.001775","0.073890","0.020909"
"P9706","2008-03","-0.201775","0.002910","-0.041913"
"P9707","2008-03","-0.139775","-0.063364","-0.025618"
"P9710","2008-03","-0.199775","-0.002471","-0.040237"
"P9709","2008-03","-0.201775","0.002910","-0.041913"
"P9712","2008-03","-0.201775","0.002910","-0.041913"
"P9714","2008-03","-0.201775","0.002910","-0.041913"
"P9713","2008-03","-0.199775","-0.002471","-0.040237"
"P9715","2008-03","-0.199775","-0.002471","-0.040237"
"P9706","2008-04","0.064225","-0.097567","-0.011861"
"P9707","2008-04","0.034225","-0.035735","0.010841"
"P9710","2008-04","0.063225","-0.094830","-0.011102"
"P9709","2008-04","0.064225","-0.097567","-0.011861"
"P9712","2008-04","0.064225","-0.097567","-0.011861"
"P9714","2008-04","0.064225","-0.097567","-0.011861"
"P9713","2008-04","0.063225","-0.094830","-0.011102"
"P9715","2008-04","0.063225","-0.094830","-0.011102"
"P9706","2008-05","-0.076775","0.045602","0.039307"
"P9707","2008-05","-0.063775","0.043571","-0.037717"
"P9710","2008-05","-0.075775","0.046215","0.031780"
"P9709","2008-05","-0.076775","0.045602","0.039307"
"P9712","2008-05","-0.076775","0.045602","0.039307"
"P9714","2008-05","-0.076775","0.045602","0.039307"
"P9713","2008-05","-0.075775","0.046215","0.031780"
"P9715","2008-05","-0.075775","0.046215","0.031780"
"P9706","2008-06","-0.205775","-0.043018","-0.007338"
"P9707","2008-06","-0.131775","-0.010822","-0.019436"
"P9710","2008-06","-0.202775","-0.038230","-0.013270"
"P9709","2008-06","-0.205775","-0.043018","-0.007338"
"P9712","2008-06","-0.205775","-0.043018","-0.007338"
"P9714","2008-06","-0.205775","-0.043018","-0.007338"
"P9713","2008-06","-0.202775","-0.038230","-0.013270"
"P9715","2008-06","-0.202775","-0.038230","-0.013270"
"P9706","2008-07","0.015225","0.090628","-0.003182"
"P9707","2008-07","-0.021775","0.043178","0.017267"
"P9710","2008-07","0.013225","0.087397","-0.000933"
"P9709","2008-07","0.015225","0.090628","-0.003182"
"P9712","2008-07","0.015225","0.090628","-0.003182"
"P9714","2008-07","0.015225","0.090628","-0.003182"
"P9713","2008-07","0.013225","0.087397","-0.000933"
"P9715","2008-07","0.013225","0.087397","-0.000933"
"P9706","2008-08","-0.142775","-0.091499","0.027053"
"P9707","2008-08","-0.216775","0.017019","0.051129"
"P9710","2008-08","-0.144775","-0.086914","0.030775"
"P9709","2008-08","-0.142775","-0.091499","0.027053"
"P9712","2008-08","-0.142775","-0.091499","0.027053"
"P9714","2008-08","-0.142775","-0.091499","0.027053"
"P9713","2008-08","-0.144775","-0.086914","0.030775"
"P9715","2008-08","-0.144775","-0.086914","0.030775"
"P9706","2008-09","-0.056775","-0.036878","0.057872"
"P9707","2008-09","-0.157775","-0.051368","0.042659"
"P9710","2008-09","-0.059775","-0.041926","0.060473"
"P9709","2008-09","-0.056775","-0.036878","0.057872"
"P9712","2008-09","-0.056775","-0.036878","0.057872"
"P9714","2008-09","-0.056775","-0.036878","0.057872"
